Durante B-DT
internamento I-DT
, O
doente O
teve O
episodios B-C
paroxisticos I-C
de O
diminuicao B-C
de I-C
acuidade I-C
visual I-C
, O
e O
foi O
observado O
por O
Neuro-oftalmologista O
, O
que O
referiu O
tratar O
se O
de O
isquemia B-C
ocular B-AS
. O

Tres B-DT
meses I-DT
apos I-DT
desmame B-N
de O
a O
corticoterapia B-THER
, O
reinicia O
quadro O
de O
fatigabilidade B-C
e O
cansaco B-C
para I-C
medios I-C
esforcos I-C
, O
associado B-CH
a O
disfonia B-C
e O
ptose B-C
palpebral B-AS
, O
por O
o O
que O
se O
decide O
internamento B-OBS
para O
tratamento O
com O
gamaglobulina B-THER
e O
reintroducao B-THER
de I-THER
corticoterapia I-THER
, O
iniciando O
azatioprina B-THER
em I-THER
associacao I-THER
. O

A O
doente O
evoluiu B-EV
favoravelmente I-EV
encontrando O
se O
assintomatica B-OBS
desde B-DT
a I-DT
data I-DT
de I-DT
alta I-DT
. O

Entre B-DT
os I-DT
5 I-DT
e I-DT
os I-DT
8 I-DT
anos I-DT
, O
apresenta O
quadros B-C
oscilatorios I-C
de I-C
afasia I-C
nominal I-C
e O
parafasias B-C
com I-C
nocao I-C
de I-C
regressao I-C
inclusivamente I-C
comportamental I-C
, O
configurando O
periodos B-EV
de I-EV
melhoria I-EV
e O
agravamento B-EV
clinicos I-EV
. O

Descrevemos O
o O
caso O
de O
um O
homem O
de O
55 O
anos O
, O
diagnosticado O
com O
glioblastoma B-C
, O
de O
topografia B-AS
temporo-insulo-parietal I-AS
esquerdo I-AS
e O
com O
crises B-C
de I-C
disfasia I-C
previas B-DT
, O
que O
recorreu O
a O
o O
Servico O
de O
Urgencia O
, O
em O
o O
proprio B-DT
dia I-DT
, O
por O
paroxismos B-C
frequentes B-DT
de O
dor B-C
excruciante I-C
de O
a O
hemiface B-AS
direita I-AS
e O
braco B-AS
homolateral I-AS
, O
com O
segundos B-DT
de I-DT
duracao I-DT
, O
que O
se O
repetiram O
durante B-DT
cerca I-DT
de I-DT
1 I-DT
hora I-DT
. O

O O
adolescente O
tem O
se O
mantido B-EV
assintomatico B-OBS
de O
o O
ponto O
de O
vista O
funcional O
, O
com O
exame B-T
objetivo I-T
sobreponivel B-R
. O

associado B-CH
a O
edema B-C
hemisferico B-AS
direito I-AS
, O
sem B-N
outras B-R
alteracoes I-R
agudas I-R
. O

RM B-T
CE I-T
documentou O
extensa B-C
lesao I-C
de O
a O
substancia B-AS
branca I-AS
parieto-temporo-occipital I-AS
esquerda I-AS
, O
hiperintensa B-R
em I-R
T2 I-R
, O
associada B-CH
a O
inumeras B-C
microhemorragias I-C
corticais B-AS
. O

Apos B-DT
conhecimento I-DT
de O
o O
resultado O
negativo B-R
para I-R
a I-R
duplicacao I-R
de O
o O
gene B-G
PMP22 I-G
, O
prosseguiu O
se O
com O
painel B-T
de O
genes B-G
CMT1 I-G
encontrando O
se O
mutacao B-R
em I-R
heterozigotia I-R
c. O
434del O
( O
p. O
Leu145Argfs*10 O
) O
em O
o O
exao B-R
5 I-R
de O
o O
gene B-G
PMP22 I-G
, O
que O
introduz O
um O
codao B-R
STOP I-R
prematuro I-R
. O

Nao B-N
se O
identificou O
sinal B-R
de I-R
fluxo I-R
em O
a O
ACI B-AS
direita I-AS
terminal I-AS
, O
nem B-N
em O
as O
ACA B-AS
e O
ACM B-AS
em O
o O
eco-Doppler B-T
transcraniano B-AS
. O

Adicionalmente O
, O
referia O
ter O
notado O
incapacidade B-C
para I-C
realizar I-C
tarefas I-C
habituais I-C
, O
como O
virar B-OBS
as I-OBS
calcas I-OBS
de I-OBS
o I-OBS
avesso I-OBS
ou O
atar B-OBS
o I-OBS
saco I-OBS
de I-OBS
o I-OBS
lixo I-OBS
. O

Doente O
de O
o O
sexo O
feminino O
, O
de O
46 O
anos O
de O
idade O
, O
com O
antecedentes B-DT
rele-vantes O
de O
infeccao B-C
VIH I-C
e O
VHC B-C
adequadamente B-THER
controladas I-THER
ha B-DT
20 I-DT
anos I-DT
, O
dislipidemia B-C
e O
habitos B-C
tabagicos I-C
e O
etilicos B-C
. O

Analise B-T
citoquimica I-T
de I-T
o I-T
LCR I-T
normal B-R
e O
pesquisa B-T
de I-T
bandas I-T
oligoclonais I-T
negativa B-R
. O

A O
O O
exame B-T
fisico I-T
apresentava O
hipostesia B-C
simetrica I-C
em I-C
luva- I-C
-meia I-C
, O
defice B-C
propriocetivo I-C
e O
vibratorio B-CH
em O
os O
membros B-AS
inferiores I-AS
, O
reflexos B-C
osteotendinosos I-C
rotulianos B-AS
e O
aquilianos B-AS
ausentes B-N
e O
marcha B-C
ataxica I-C
com O
teste B-T
de I-T
Romberg I-T
positivo B-R
. O

Referia O
previamente B-DT
, O
ocorrencia O
de O
dois B-C
episodios I-C
de I-C
PDC I-C
, O
um O
nao B-N
presenciado B-CH
e O
outro O
interpretado B-CH
como O
sincope B-C
vagal I-C
. O

Os O
defices B-C
neurologicos I-C
melhoraram B-EV
progressivamente I-EV
em O
as O
semanas B-DT
seguintes I-DT
. O

Em O
A O
EMG B-T
de O
a O
mae B-OBS
os O
resultados O
sao O
identicos B-R
. O

Realizou O
RM B-T
cerebral B-AS
: O
extenso B-R
hipersinal I-R
T2 I-R
/ I-R
T2-FLAIR I-R
hipotalamico B-AS
, O
ponto-bulbar B-AS
e O
medular B-AS
( O
ate B-AS
C4 I-AS
) O
. O

Admitida O
em O
internamento O
, O
manifestou O
compromisso B-C
progressivo B-EV
de O
o O
estado B-CH
mental I-CH
a O
que O
se O
somou O
oftalmoparesia B-C
bilateral B-AS
e O
descoordenacao B-C
apendicular B-AS
. O

A O
TC-toracoabdominopelvica B-T
revelou O
colangiocarcinama B-C
, O
carcinomatose B-C
peritoneal B-AS
e O
metastases B-C
hepaticas B-AS
. O

Ocorreu O
remissao B-EV
de O
a O
sintomatologia B-C
psicotica I-C
, O
eutimizacao B-C
de I-C
o I-C
humor I-C
e O
estabilizacao B-EV
comportamental I-EV
, O
tendo O
o O
doente O
mantido B-EV
esta B-THER
terapeutica I-THER
por O
6 B-DT
meses I-DT
. O

Doente O
de O
33 O
anos O
que O
apresentou O
quadro O
de O
fotopsias B-C
e O
cefaleias B-C
de O
localizacao O
temporal B-AS
bilateral I-AS
com O
varios B-DT
anos I-DT
de O
evolucao B-EV
, O
tendo O
recorrido O
a O
a O
consulta O
apos B-DT
episodio B-C
mais I-C
intenso I-C
. O

Assim O
sendo O
, O
foi O
pedida O
angio-TC B-T
craneo-encefalica I-T
, O
para O
exclusao B-N
de O
eventual O
trombose B-C
venosa B-AS
cerebral I-AS
, O
que O
inesperadamente O
revelou O
uma O
volumosa B-C
lesao I-C
extra B-AS
axial I-AS
( O
44X51X45mm B-V
) O
mediana B-AS
, O
localizada O
a O
o O
jugum B-AS
esfenoidal I-AS
, O
com O
marcada B-CH
compressao I-CH
de O
os O
nervos B-AS
opticos I-AS
, O
de O
predominio B-AS
direito I-AS
e O
com O
desvio B-CH
de O
as O
arterias B-AS
cerebrais I-AS
anteriores I-AS
para I-AS
tras I-AS
. O

Nao B-N
foi O
realizada O
trombolise B-THER
. O

Cumpriu O
a O
terapeutica B-THER
antibiotica I-THER
com I-THER
meropenem I-THER
durante B-DT
6 I-DT
semanas I-DT
, O
seguido B-DT
de I-DT
4 I-DT
semanas I-DT
de O
cefixima B-THER
. O

Em O
A O
observacao B-T
neurologica I-T
nao B-N
emitia B-R
discurso I-R
mas O
cumpria B-R
ordens I-R
simples I-R
, O
apresentava O
hemiparesia B-C
direita B-AS
de O
predominio B-AS
crural I-AS
e O
rigidez B-C
terminal I-C
de O
a O
nuca B-AS
. O

Apresentou O
melhoria B-EV
progressiva I-EV
de O
os O
defices B-C
, O
e O
a O
data B-DT
de I-DT
alta I-DT
, O
destacava O
se O
a O
o O
EN B-T
, O
prova B-T
de I-T
Mingazini I-T
com O
oscilacao B-R
sem B-N
queda B-R
, O
com O
ROTs B-C
fracos I-C
. O

Apos B-DT
cirurgia B-THER
de I-THER
revisao I-THER
de I-THER
protese I-THER
em B-DT
2014 I-DT
, O
agravou B-EV
progressivamente I-EV
a O
dificuldade B-C
de I-C
a I-C
marcha I-C
e O
surgiu O
incontinencia B-C
urinaria I-C
e I-C
fecal I-C
. O

Homem O
de O
71 O
anos O
, O
com O
antecedentes B-DT
pessoais O
de O
hipertensao B-C
arterial I-C
, O
recorre O
a O
o O
servico O
de O
urgencia O
( O
S. O
U. O
) O
por O
quadro O
de O
disartria B-C
e O
confusao B-C
mental I-C
. O

A O
doente O
foi O
igualmente O
tratada O
com O
levetiracetam B-THER
, O
sem B-N
registo O
de O
novas O
crises B-C
convulsivas I-C
. O

A O
O O
exame B-T
objectivo I-T
apresentava O
sinal B-R
de I-R
Chvostek I-R
positivo I-R
, O
sendo O
o O
exame B-T
neurologico I-T
normal B-R
. O

O O
doente O
recusou B-N
nova O
biopsia B-T
, O
tendo- O
se O
reiniciado O
corticoterapia B-THER
. O

Face O
a O
as O
infecoes B-C
de I-C
repeticao I-C
consequentes B-DT
, O
instituida O
antibioterapia B-THER
continua I-THER
com I-THER
Amoxicilina I-THER
/ I-THER
Acido I-THER
Clavulanico I-THER
1000 B-V
mg I-V
/ I-V
dia I-V
e O
Metronidazol B-THER
500mg B-V
3x I-V
/ I-V
dia I-V
, O
alem O
de O
terapeutica B-THER
sintomatica I-THER
. O

A O
investigacao B-T
etiologica I-T
identificou O
PCR B-R
para I-R
adenovirus I-R
em I-R
as I-R
secrecoes I-R
respiratorias I-R
. O

A O
TC B-T
de O
corpo B-AS
excluiu B-N
neoplasia B-C
oculta I-C
. O

Crianca O
de O
7 O
anos O
, O
sexo O
masculino O
, O
previamente B-DT
saudavel B-OBS
, O
trazida O
a O
o O
Servico O
de O
Urgencia O
por O
instalacao O
subita B-CH
de O
hemianopsia B-C
homonima I-C
e O
hemiparesia B-C
esquerda B-AS
com O
um B-DT
dia I-DT
de O
evolucao B-EV
. O

Em B-DT
A I-DT
admissao I-DT
, O
apresentava O
parestesias B-C
de O
o O
territorio B-AS
V2 I-AS
trigeminal I-AS
direito I-AS
e O
ataxia B-C
axial B-AS
. O

Homem O
de O
48 O
anos O
, O
com O
DP B-C
diagnosticada O
ha B-DT
9 I-DT
anos I-DT
foi O
proposto O
para O
ECP B-THER
de O
o O
STN B-AS
. O

TC B-T
cerebral B-AS
Hipodensidade B-C
cortico-subcortical B-AS
, O
temporo-parieto-occipital B-AS
esquerda I-AS
que O
podera B-CH
traduzir O
enfarte B-C
venoso I-C
, O
secundario B-CH
a O
trombose B-C
de O
o O
seio B-AS
venoso I-AS
. O

O O
doente O
iniciou O
antiagregacao B-THER
plaquetar I-THER
e O
oclusao B-THER
ocular B-AS
alternada O
tendo O
melhorado B-EV
em O
as O
semanas B-DT
seguintes I-DT
. O

Realca O
se O
ainda O
a O
existencia B-R
de O
hematoma B-C
extradural B-AS
hemisferico I-AS
esquerdo I-AS
cronico B-CH
sequelar B-DT
a O
traumatismo B-C
previo B-DT
. O

Os O
ecocardiogramas B-T
transtoracico B-AS
e O
transesofagico B-AS
nao B-N
mostraram O
presenca B-R
de O
FOP B-C
ou O
defeitos B-C
cardiacos I-C
congenitos I-C
. O

Sob O
terapeutica O
com O
acido B-THER
acetilsalicilico I-THER
e O
fisioterapia B-THER
, O
verificou O
se O
uma O
melhoria B-EV
gradual I-EV
de O
a O
hemiparesia B-C
. O

Homem O
de O
61 O
anos O
, O
antecedentes B-DT
de O
meningioma B-C
toracico B-AS
, O
para O
o O
qual O
fez O
radioterapia B-THER
e O
6 B-DT
anos I-DT
de O
Acido B-THER
Alendronico I-THER
IV B-RA
; O
e O
de O
osteoporose B-C
grave I-C
( O
em O
contexto O
de O
hipogonadismo B-C
) O
; O
recorreu O
a O
a O
consulta O
de O
Neurologia O
por O
dor B-C
facial B-AS
nevralgica I-AS
. O

Contudo O
, O
por O
a O
forma O
de O
instalacao O
de O
os O
defices B-C
, O
rapida B-EV
recuperacao I-EV
e O
quase B-EV
totalidade I-EV
de O
as O
lesoes B-C
em O
o O
territorio B-AS
de I-AS
circulacao I-AS
posterior I-AS
esquerda I-AS
, O
completou O
investigacao O
com O
doppler B-T
de O
os O
vasos B-AS
de I-AS
o I-AS
pescoco I-AS
, O
angio-RM B-T
e O
angiografia B-T
classica I-T
, O
tendo O
se O
diagnosticado B-CH
dissecao B-C
de O
a O
arteria B-AS
vertebral I-AS
esquerda I-AS
. O

Tinha O
antecedentes B-DT
pessoais O
de O
consumo B-C
tabagico I-C
e O
perturbacao B-C
de I-C
ansiedade I-C
, O
seguida O
em O
consulta O
de O
psiquiatria O
e O
medicada O
com O
escitalopram B-THER
20 B-V
mg I-V
, O
trazodona B-THER
50 B-V
mg I-V
, O
loflazepato B-THER
2mg B-V
. O

Esta O
menina O
foi O
encaminhada O
para O
sessoes O
de O
fisioterapia B-THER
e O
a O
evolucao B-EV
tem I-EV
sido I-EV
lenta I-EV
mas I-EV
favoravel I-EV
, O
com O
aquisicoes B-EV
progressivas I-EV
, O
sendo O
capaz O
de O
fazer O
marcha B-C
sem B-N
apoio B-CH
desde B-DT
os I-DT
4 I-DT
anos I-DT
. O

Homem O
de O
73 O
anos O
com O
antecedentes B-DT
de O
hipertensao B-C
arterial I-C
, O
hiperplasia B-C
benigna I-C
de O
a O
prostata B-AS
, O
protese B-THER
total I-THER
de O
a O
anca B-AS
e O
ventriculomegalia B-C
diagnosticada O
a B-DT
os I-DT
40 I-DT
anos I-DT
em O
o O
contexto O
de O
cefaleias B-C
. O

Repetiu O
RM B-T
durante B-DT
o I-DT
internamento I-DT
que O
mostrou O
estenose B-C
de O
a O
ACM B-AS
esquerda I-AS
e O
de O
ambos B-AS
os I-AS
segmentos I-AS
A1 I-AS
, O
sem B-N
repercussao B-CH
em O
o O
parenquima B-AS
, O
tendo O
iniciado O
pulsos B-THER
de I-THER
metilprednisolona I-THER
por O
suspeita B-CH
de O
vasculite B-C
isolada I-C
de O
o O
SNC B-AS
. O

O O
doente O
foi O
submetido O
a O
ciclo B-THER
de I-THER
prednisolona I-THER
1 B-V
mg I-V
/ I-V
kg I-V
/ I-V
dia I-V
, O
com O
melhoria B-EV
importante I-EV
de O
os O
defices B-C
. O

O O
haloperidol B-THER
5 B-V
mg I-V
nao B-N
foi O
eficaz B-EV
mas O
a O
doente O
ficou O
assintomatica B-OBS
apos B-DT
5 B-V
mg I-V
de O
diazepam B-THER
, O
com O
recidiva B-EV
de O
os O
sintomas B-C
apos B-DT
30 I-DT
minutos I-DT
. O

Exame B-T
de I-T
LCR I-T
com O
7 B-V
celulas I-V
, O
proteinorraquia B-R
69 B-V
mg I-V
/ I-V
dL I-V
, O
com O
analise B-T
citologica I-T
seriada I-T
sem B-N
evidencia B-R
de O
atipia B-C
imunofenotipica I-C
ou O
monoclonalidade B-C
. O

Doente O
de O
o O
genero O
feminino O
com O
46 O
anos O
de O
idade O
e O
, O
18 B-DT
meses I-DT
pos I-DT
enfarte B-C
de O
a O
ACM B-AS
esquerda I-AS
. O

Iniciou O
perfusao B-THER
de I-THER
heparina I-THER
com O
melhoria B-EV
de O
a O
hemianopsia B-C
e O
de O
o O
grau B-V
de O
a O
paresia B-C
de O
o O
MSE B-AS
. O

Referenciada O
a O
o O
nosso O
centro O
a B-DT
os I-DT
19 I-DT
anos I-DT
. O

Foi O
avaliado O
por O
Neurologia O
, O
nao B-N
se O
evidenciando O
agravamento B-C
neurologico I-C
nem B-N
alteracoes B-C
cognitivas I-C
. O

Identificada O
uma O
variante B-R
nova I-R
em O
o O
gene B-G
NOTCH3 I-G
c. I-G
1238G>A I-G
( O
p. O
Gly413Asp O
) O
- O
exao B-R
8 I-R
, O
que O
nao B-N
altera B-R
o I-R
numero I-R
de I-R
residuos I-R
de I-R
cisteina I-R
em I-R
o I-R
dominio I-R
extracelular I-R
de I-R
a I-R
proteina I-R
. O

A B-DT
O I-DT
7 I-DT
dia I-DT
de O
perfusao B-THER
, O
iniciou O
varfarina B-THER
. O

Realizou O
7 B-THER
sessoes I-THER
de I-THER
plasmaferese I-THER
e O
5 B-DT
dias I-DT
de O
metilprednisolona B-THER
com O
melhoria B-EV
franca I-EV
de O
os O
sintomas B-C
. O

EEG B-T
revelou O
actividade B-R
lenta I-R
paroxistica I-R
temporo-occipital B-AS
esquerda I-AS
. O

Iniciou O
quadro O
subagudo B-CH
de O
alteracoes B-C
de I-C
comportamento I-C
com I-C
elevada I-C
agitacao I-C
psicomotora I-C
cerca B-DT
de I-DT
2 I-DT
anos I-DT
apos I-DT
o O
AVC B-C
. O

Necessidade O
de O
introducao B-THER
sequencial I-THER
de I-THER
levetiracetam I-THER
, O
valproato B-THER
e O
fenitoina B-THER
para I-THER
controlo I-THER
de O
as O
crises B-C
, O
com O
recuperacao B-EV
gradual I-EV
a B-DT
o I-DT
longo I-DT
de I-DT
10 I-DT
dias I-DT
de O
o O
estado B-C
pos-critico I-C
prolongado B-EV
. O

Nao B-N
foi O
realizada O
trombolise B-THER
. O

Actualmente B-DT
com I-DT
3 I-DT
anos I-DT
, O
mantem B-EV
atraso B-C
global I-C
grave I-C
, O
sem B-N
manipulacao B-C
de I-C
objectos I-C
nem B-N
aquisicao B-C
de I-C
linguagem I-C
, O
apresentando O
estereotipias B-C
manuais I-C
e O
perturbacao B-C
grave I-C
de I-C
o I-C
sono I-C
. O

Mulher O
de O
47 O
anos O
, O
previamente B-DT
saudavel B-OBS
. O

Sob O
clonazepam B-THER
e O
biperideno B-THER
nao B-N
houve O
qualquer O
melhoria B-EV
. O

Em O
Este O
contexto O
, O
foi O
identificado O
em O
o O
electrocardiograma B-T
padrao B-R
sugestivo I-R
de O
SB B-C
, O
diagnostico O
posteriormente B-DT
confirmado B-R
por O
estudo B-T
electrofisiologico I-T
e O
identificacao B-R
de O
uma O
mutacao B-R
em O
o O
gene B-G
SCN5A I-G
. O

Sem B-N
antecedentes B-DT
pessoais O
ou O
familiares O
relevantes O
. O

Atualmente B-DT
, O
com O
7 B-DT
meses I-DT
de I-DT
seguimento I-DT
, O
mantem B-EV
se O
sem B-N
defices B-C
neurologicos I-C
. O

A O
RM B-T
medular B-AS
mostrou O
lesoes B-C
hiperintensas B-R
em I-R
T2 I-R
em O
os O
segmentos B-AS
cervical I-AS
, O
dorsal B-AS
e O
cone B-AS
medular I-AS
. O

associado B-CH
a O
edema B-C
hemisferico B-AS
direito I-AS
, O
sem B-N
outras B-R
alteracoes I-R
agudas I-R
. O

A O
ressonancia B-T
magnetica I-T
identifica O
: O
discreto B-R
hipersinal I-R
laterobulbar B-AS
